date,tool,counts,scaled_counts,data_origin,title
1996-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,Gephi,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1996-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,Gephi,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1997-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,Cytoscape,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,Gephi,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,Graphviz,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,Neo4j,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,Netlytic,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,NetworkX,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,NodeXL,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,Palladio,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,Textexture,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,igraph,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,nodegoat,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
1998-01-01,sigma.js,0,0.0,Index of DH Conferences,Index of DH Conferences by Weingart et al (2023)
