commit_author_name,commit_author_date,stats_total,stats_additions,stats_deletions
JR Ladd,2021-07-23 14:12:01+00:00,2,1,1
JR Ladd,2021-07-02 18:19:38+00:00,2,1,1
JR Ladd,2021-06-30 19:43:16+00:00,2,1,1
JR Ladd,2021-06-30 19:15:00+00:00,1,1,0
JR Ladd,2021-06-30 19:07:56+00:00,2,1,1
JR Ladd,2021-06-30 19:05:38+00:00,828,0,828
JR Ladd,2021-06-30 18:54:13+00:00,2653,2653,0
JR Ladd,2021-06-30 18:53:26+00:00,842,824,18
JR Ladd,2021-06-29 20:31:27+00:00,4,2,2
JR Ladd,2021-06-29 19:58:15+00:00,5,3,2
JR Ladd,2021-06-29 19:49:55+00:00,4,2,2
JR Ladd,2021-06-15 20:18:05+00:00,1265,1050,215
JR Ladd,2021-06-08 14:44:04+00:00,5,5,0
JR Ladd,2021-06-08 14:39:41+00:00,2,1,1
JR Ladd,2021-06-08 14:35:47+00:00,10,8,2
JR Ladd,2021-06-08 14:24:28+00:00,2,1,1
JR Ladd,2021-06-02 14:38:03+00:00,7,7,0
JR Ladd,2021-06-02 14:16:03+00:00,21,21,0
JR Ladd,2021-06-01 17:14:41+00:00,5,5,0
JR Ladd,2021-06-01 16:40:31+00:00,14,12,2
JR Ladd,2021-05-27 21:41:00+00:00,2,2,0
JR Ladd,2021-05-27 21:35:59+00:00,0,0,0
JR Ladd,2021-05-27 21:35:27+00:00,78,78,0
JR Ladd,2021-05-27 21:35:12+00:00,3,2,1
JR Ladd,2021-05-27 20:35:41+00:00,35,25,10
JR Ladd,2021-05-27 20:09:38+00:00,12,4,8
ZoeLeBlanc,2021-05-25 18:07:10+00:00,24,12,12
JR Ladd,2021-05-23 21:45:28+00:00,39,18,21
JR Ladd,2021-05-23 21:17:10+00:00,22,11,11
JR Ladd,2021-05-23 21:03:23+00:00,8,3,5
JR Ladd,2021-05-23 20:47:39+00:00,24,8,16
JR Ladd,2021-05-23 20:36:40+00:00,1,1,0
JR Ladd,2021-05-23 20:29:30+00:00,5,3,2
JR Ladd,2021-05-23 20:11:03+00:00,14,6,8
